篇名	作者	页数	关键词	摘要	filename
大数据时代图书馆科学数据管理与服务的探索与实践	张计龙:06708025	2	 	"<正>一、大数据时代的科研活动21世纪迎来了""数据爆炸""的大数据时代, 2011年世界经济论坛称大数据为新财富;2012年美国政府认为大数据关系到国家经济结构调整和产业升级,是""未来的新石油"";2013年经济合作与发展组织报告指出,数据已经成为科研活动的核心和科技创新发展的核心驱动要素。作为数字化革命的引擎,""大数据""为众多科学研究带来新机遇,科学范式开始从模型驱动向数据驱动转变,开启了以数据为中心思考、设计 "	SHGT201804010
基于云的文献资源协同保障与评估系统	陈骁:08531460	2	 	"<正>系统的构建起源于四个方面的需求。1、资源管理的需要。读者利用资源的同时产生了大量的行为数据,这些行为数据的价值在不断递增且有些已经与资源本身的价值等同;2、资源保障的需要。学校乃至教育部对文献资源有学科保障的要求,同时,保障率的分析需要对比整个行业、同类型学校,以及运用类似ESI指标对标全球,即实现行业保障与区域保障;3、绩效评估的需要。图书馆文献资源的绩效评价离不开对其用户行为数据的分析,其中存在着引文的学术规范的 "	SHGT201804011
基于新一代信息技术提升图书馆传统服务	黄小强:09060927	2	 	"<正>报告从四个方面展开,首先介绍国家的一些相关政策和新要求,其次对图书馆目前的发展现状和服务进行论述,再次从新技术的角度介绍国内外的一些实践以及西安电子科技大学图书馆的实践,最后对于提升图书馆传统服务提出总结和建议。一、国家相关新要求2018年1月1日开始实施的《公共图书馆法》中提出""国家鼓励和支持发挥科技在公共图书馆建设、管理和服务中的作用,推动运用现代信息技术和传播 "	SHGT201804012
图书馆发展40年回忆——访赵伯兴研究馆员	方向明1:17425162|张海霞2:40875061|易然1:40875062	6	文献编目; 情报检索; 科学研究; 研究生教育; 社区图书室服务;	"改革开放走过的四十年里,中国图书馆学研究从恢复再生到不断发展,涌现了一批批优秀的图书馆学理论学者和辛勤的图书馆实务工作者,上海大学图书馆赵伯兴研究馆员,就是其中一位。他是一位图书馆学情报学领域研究的高产者,是图书情报专业的教育者,更是一位图书馆工作的实践者。通过此次访谈,我们看到了一位有着三十年馆龄的图书馆人的坚持、坚强和坚韧,正是有了这些默默耕耘的前辈们无私的付出和坚守,才迎来了图书馆学情报学事业的勃勃生机。 "	SHGT201804013
区域协作与图书馆总分馆制建设探究——以松江区图书馆为例	陈诚:30220072	4	区域协作; 基层图书馆; 总分馆制;	"为推进本区公共图书馆总分馆制建设,发挥区图书馆在本地区公共文化建设中的重要枢纽作用,本文讨论了推进公共图书馆总分馆制建设的途径和对策,提出了人员考核、社会主体参与等建议。 "	SHGT201804014
阅读推广品牌管理初探	成俊颖:06695697	7	阅读推广; 品牌; 品牌管理;	"本文论述了阅读推广对品牌的需求,初步探讨了阅读推广的品牌化管理过程和模式,通过建立品牌管理组织,进行品牌的定位与设计、实施与传播、维护与评估等一系列管理活动,用品牌来保障阅读推广服务的一致性与连续性,提升服务质量,提高服务在读者心中的价值存在感。 "	SHGT201804015
从多维立体的文化活动打造到多位一体的文化空间创建——上海外国语大学“世界文明之旅”文化季的实践与启示	马吟雪:22567450|严丹:17331016	6	多维立体; 文化活动; 世界文明之旅; 多位一体; 文化空间;	"上海外国语大学""世界文明之旅""文化季活动的开展,是图书馆文化服务创新的有益探索与实践,在传统馆藏文献展示与推广的基础上,逐步延伸至视觉影像展、手工艺品展、中外电影展、文化体验等全方位的活动,同时开展学术讲座、学术研讨、学术沙龙等活动,打造了多维立体的文化活动。这对图书馆在空间功能上的拓展与融合提出了新要求,为图书馆在空间改造上的定位提供了启示,即吸收展览馆、艺术馆、电影院、研讨室、会议室的各项功能,创建多位一体的文化空间,以利于各类校园文化活动的进一步开展,起到图书馆文化引领的作用。 "	SHGT201804016
打卡分享:基于微信平台的阅读推广案例分析	焦长红:33054746	4	打卡; 微信平台; 阅读推广; 案例分析;	"基于微信小打卡组织的阅读推广活动形式简便,读者参与门槛低,引入学生团队进行策划和管理,使活动更加贴近大学生活,采用线上线下结合的方式,相互促进相互补充,提高读者的粘性。充分利用微信平台的新功能,拓展阅读推广的渠道,打破时间空间限制,让更多的学生能够参与活动,提高阅读推广的品质。 "	SHGT201804017
民国时期图书馆文献捐赠探析	孙凤玲:22849958|安勤:40875064	5	图书馆; 文献捐赠; 民国时期;	"文献捐赠对图书馆的资源建设具有十分重要的意义。随着近代图书馆的产生与发展,文献捐赠也随之出现。文章选取中国历史上比较有代表性的民国时期,并以中国国家图书馆为例分析了文献捐赠的产生、发展及特点等,以期对当下的图书馆文献捐赠工作提供借鉴意义。 "	SHGT201804018
民国国立大学图书馆特色资源的创建——以国立北平师范大学等图书馆藏书章为例	张华春1:36696918|张靓涵2:40875065	4	特色资源库建设; 民国高校; 图书馆藏书章;	"以国立大学图书馆藏书章为例,本文详细阐述了民国藏书章形制、墨色、内容等及图书馆管理机制,通过藏书章使人们更直观了解民国特色资源发展变迁的魅力。创建图书馆藏书章资源库,是亟待解决的新问题。它也是建设民国特色文献资源库的重要组成部分。用整体、发展的眼光来看待民国文献资源建设,对它更具有重要意义。 "	SHGT201804019
中文图书预约数据分析与馆藏建设优化策略——以黑龙江东方学院图书馆为例	王欢:33846983|郭春阳:22150115	6	大学图书馆; 图书预约; 馆藏建设优化;	"图书预约服务是当前大学图书馆提高读者满意度的有效途径之一。论文以黑龙江东方学院图书馆2012-2017年6年的图书预约数据为基础,分析出师生们的阅读取向以及馆藏文献资源与师生阅读需求的契合程度,同时总结师生阅读需求的动态变化规律。在此基础上,提出了基于图书预约数据的馆藏建设优化策略,为大学图书馆的馆藏建设决策提供一定的依据。 "	SHGT201804020
图书馆未成年人服务的教育学理论基础研究	张文彦:36793879|姚婧雅:40875066	6	图书馆服务; 理论基础; 教育学; 中小学图书馆; 学校图书馆;	"通过梳理,本研究归纳出图书馆未成年人服务的教育学理论基础主要包括语文教育和素质教育理论两部分。语文教育理论中综合性学习、自主探究和高效的阅读教学等概念都与图书馆未成年人服务密切关联。图书馆服务(特别是学校图书馆)理论的建构要以师生的需求和其教与学的目标为着眼点,否则服务理论就会陷于空谈,因而语文教育理论成为图书馆未成年人服务理论的构建基础。更大视阈内的素质教育无论从理论推导还是实践操作都有赖于图书馆服务,而图书馆未成年人服务理论的构建也要以素质教育为基石和保障。最后从教育学及综合性学科视角提出了促进该项服务的三条对策。 "	SHGT201804021
新马克思主义批评下后现代图书馆学的建设与发展	陈立华:06557570	4	新马克思主义; 后现代图书馆学; 批评; 建设; 发展;	"新马克思主义批评是吸收、整合20世纪西方马克思主义哲学、文学批评和后现代主义理论的产物,阐述后现代图书馆学与新马克思主义的联系、后现代图书馆空间观的理论视角、后现代图书馆学理论研究的方法论等。后现代图书馆学的建设与发展需要新马克思主义批评的纠正与指导。 "	SHGT201804022
高校图书馆就业服务会员制模式的探究	张卿:40875067	3	会员制服务; 创新; 分类多元化; 就业;	"高校图书馆的主要任务之一是为高校师生提供优质的服务。文章从会员制服务的角度诠释一种创新的服务理念,将高校师生的分类多元化,配合社会发展的需求来提供针对性的引导服务,提升高校学生的就业竞争力问题。 "	SHGT201804023
“双一流”背景下高校图书馆文献与空间整合——以中国传媒大学图书馆为例	杨亚君:40875068	3	图书馆; 资源整合; 双一流建设;	"如何加强新时代图书馆管理机制研究,推动图书馆服务实现新突破,本文试从高校图书馆为学校一流学科建设规划提供支持与保障、整合文献资源、提高效率、合理利用空间、加强特色建设与服务等方面提出一些经验与见解。 "	SHGT201804024
军队院校图书馆开放存取学术资源利用探究	刘阜源:38276806	5	军队院校图书馆; 开放存取学术资源; 开放存取学术资源利用模式;	"本文首先简要介绍了OA学术资源的概念、类型、特征与近年来的发展情况,随后总结了目前军队院校图书馆开放存取学术资源利用的现状与问题,接着从宏观与微观两方面对军队院校图书馆如何提高OA学术资源利用效率展开分析与论述,最后提出未来研究方向。旨在为军队院校探索OA学术资源利用模式提供参考思路,提升OA学术资源利用率,推动军事科研快速发展。 "	SHGT201804025
基于文献计量的国内网络信息行为研究热点与趋势	王文婷:39879367	8	网络用户; 信息行为; 定量分析; 网络环境;	"利用Citespace、Ucinet和SPSS等软件,对CNKI收录的2001-2018年网络信息行为领域的期刊文献从时间、作者、机构、高被引、来源期刊、研究热点、研究趋势等进行分析,探讨网络信息行为领域的研究现状和发展趋势,为该领域的研究提供一定的借鉴。 "	SHGT201804026
国内外藏敦煌文献的数量、内容及来源的介绍与考察	宋雪春:29844104	6	敦煌文献; 数量; 内容; 来源;	"1900年,封闭近九百年的敦煌藏经洞重被开启,从而使举世闻名的敦煌宝藏呈现在世人面前。由于众所周知的原因,这个后来引起世界学术界震惊的发现在当时并没有得到应有的保护,致使其中的大部分先后流散到英、法、俄、日等国,为研究者利用这批文献造成了极大的不便。自上个世纪七、八十年代开始,许多学者致力于各国敦煌文献庋藏情况之调查。经过他们的不懈努力,敦煌文献中的汉文、胡语文献,以及绢纸绘画等文物的确切数量、内容和来源逐渐明晰化。本文主要结合中国收集品、斯坦因收集品、伯希和收集品、奥登堡收集品以及日本收集品的具体情况,对国内外不同机构所藏敦煌文献的收藏数量、藏品来源、主要内容进行介绍与考察,以期为学界全面认识和了解敦煌文献的收藏状况提供便利。 "	SHGT201804027
《中华道藏》正字误录辨正(一)	牛尚鹏:29836756|张海月:31619615	6	《中华道藏》; 正字; 误录;	"《中华道藏》作为大型道经整理本文献,在校录影印本道经的过程中出现了一些显而易见的错误,即原影印本文字不误,而录校失误,导致新的讹误产生,影响了道经的准确使用。出现这种情况的原因大致有三:一、点校者不明字际关系而误录;二、点校者不审而误录;三、排印误植。 "	SHGT201804028
老胡和他的《中国抗战话剧图史(1931-1945)》	周德明:23076193	2	 	"<正>胡传敏,人称老胡,是本市图书馆界文献采访的高手。初识老胡,是在一次图书采访研讨会期间。会上,他沉默寡语,一如他平日做派,敏事慎言,以""行""代""言"",稍微点头便是算对发言者的首肯了。会下,他同我交流地方志采访事宜,我便聊起上海图书馆方志收藏数量、特点及开发现状。未及说完,他悠悠一句:何日有暇,请来敝馆看看我们收藏的戏剧方志,那可是上图不及的啊!虽令我语塞,但尔后几番打听,得知老胡任职的上海戏剧学院图书馆在其独到眼力和 "	SHGT201804029
